# Reviewed task | independently tracked facets | validation procedure and acceptance oracle.
# Source and facet identities are bound by docs/requirement-review.json.
P02A-T22 | serializable event and condition definitions; interaction door-state and sound sequence; no retained JavaScript closures; instruction signature validation; target validation; state ownership validation; runtime capability validation; no embedded gameplay JavaScript or authored TypeScript-to-C++ translation | Compile declarative interactions to native instructions, reject closures and invalid signatures/targets/ownership, then run the package without Node. Compare event ordering and resulting state to the declared native instructions; unsupported calls must fail compilation.
P02A-T23 | native trigger instructions; door instructions; dialogue instructions; pickup instructions; condition instructions; ordered tasks; simulation-tick waits; incremental quest and cutscene expansion; recovered encounter battle and minigame expansion; discoverable unsupported operations | Run each implemented event instruction in the actual scheduler with stepped and unthrottled commands. Query the supported vocabulary and reject future operations until their recovered subsystem and source-to-runtime tests exist.
P02A-T24 | authoritative event-graph progress; wait conditions; explicit targets; timeouts; cancellation state; mod persistent data; source-correlated inspection; stepping and breakpoints; snapshot and replay support; no quest state in build JavaScript or closures | Pause an authored event at waits, branch/restore snapshots, cancel and replay it, and inspect all progress through native APIs with source mapping. Outcomes and resumable state must match with the authoring process absent.
P02A-T25 | packaged Lua module references; shared Phase 7 deterministic API; shared Lua permission model; ordinary authoring without C++ rebuild; explicit unsupported engine-capability boundary | Package a declarative event plus Lua extension and run with Node absent using deterministic native APIs. Verify permissions/persistence and unchanged engine binary; requests for a new engine operation must report unsupported instead of fabricating an SDK call.
P02A-T26 | movement primitives; one-time reward primitives; interaction primitives; quest-transition primitives; defined failure behavior; defined re-entry behavior; actor-arrival waits; simulation scheduler timers; independence from GUI animation and wall time | Exercise blocked arrival, repeated interaction, failed quest conditions and leave/re-entry around saves/rewind. Compare stepped and unthrottled execution for exactly-once rewards, bounded waits and equal state with GUI/rendering disabled.
P02A-T27 | published SDK types; serializable Zod and JSON Schema subset; native-validator schema parity; runnable original examples; capability and version discovery; compact agent guidance; exact catalog IDs; tags dimensions and anchors; animations and compatibility; references and provenance; optional previews; rebuildable SQLite FTS5 catalog when adopted | Discover and build content using only published SDK/catalog information. Compare Zod/exported JSON Schema/native validation on positive and negative fixtures; query exact IDs and unsupported states. If adopted, rebuild SQLite/FTS5 metadata and verify equivalent search results without making it an early bridge prerequisite.
P02A-T28 | verified original-content classification; partially understood classification; opaque preserved-only classification; unsupported classification; lossless unknown script blocks; factual game records separate from generated suggestions; resource existence distinct from safe editability | Query assets from each evidence class and attempt supported and unsupported edits. Unknown script bytes round-trip unchanged, opaque records reject semantic edits, and generated creative suggestions cannot acquire verified factual provenance.
P02A-T29 | headless content CLI; versioned JSON-RPC over local stdio or IPC; discovery operations; source and parameter edits; validation and build; native scenario launch; inspection traces and captures; tests diffs and packaging; optional MCP adapter; no chatbot network GUI or vendor prerequisite | Drive the complete discover/edit/build/play/inspect/test/package loop over local machine-readable requests with a generic client. Validate version/error/cancellation contracts and demonstrate every content-changing graphical operation has an equivalent headless service.
P02A-T30 | semantic edit commands; batched atomic transactions; expected source revisions; idempotent retries; dry runs; diffs; undo; cross-file validation as a unit; stale-write rejection; shared graphical command contracts; same pipeline for direct file edits | Submit concurrent stale and valid cross-file changes, repeat requests, dry-run and undo them. Failed or stale edits leave all files unchanged; successful agent, graphical and direct-file changes pass the same build and validation pipeline without losing unrelated work.
P02A-T31 | distinct source revision identity; distinct immutable package hash; distinct runtime session ID; distinct snapshot ID; cancellation; bounded queries; pagination; active tests pinned to immutable package revisions | Edit source and publish a later build while a scenario is running. Confirm the active session and snapshots retain the original package hash, paginated queries remain consistent, and cancellation is bounded without conflating any of the four identities.
P02A-T32 | machine-readable diagnostic codes; severity; source spans; object and operation IDs; observed and expected values; exact reproduction scenarios; execution traces; native state; optional object-ID overlays; collision path and camera overlays; editable-component correlation | Cause geometric, load and runtime interaction failures and require complete structured diagnostics with a reproducible scenario. When captures are enabled, resolve a selected/visible object through source maps to the same failing component and editable parameter.
P02A-T33 | executable generator and dependency-install threat model; OS or process isolation; filesystem restrictions; network restrictions; credential restrictions; controlled dependencies; separate output and temporary directories; memory and work limits; independent watchdog; Node vm and typing not isolation; no runtime debug authority for generators or Lua | Run malicious authored fixtures attempting out-of-scope reads/writes, network and credential access, dependency-install hooks, resource exhaustion and debug calls. The operating-system boundary must deny access and terminate bounded failures while preserving source/base assets and the prior package.
P02A-T34 | build watching; atomic successful publication; prior working package retained on failure; preview scenario restart initially; compatible incremental reload only at safe boundaries; explicit state migration; snapshot invalidation | Watch valid then broken source revisions and confirm only a complete successful package replaces the prior build. Restart the initial preview explicitly; for later supported reloads test compatibility/migration and snapshot invalidation at declared safe boundaries.
P02A-T35 | generated wall; usable doorway; native door interaction; collectible; full SDK mesh package loader gameplay path; ordinary TypeScript before TSX; bridge before broad editor shell | Author a wall/doorway/collectible in ordinary TypeScript, build actual geometry, load it through C++ and collect through legal native commands. Record source/package/engine identities and prove gameplay runs without a build process or graphical editor.
P02A-T36 | two traversable generated rooms; arched passage; stairs or elevation change; custom procedurally modeled object; NPC and dialogue interaction; one-time reward; generated-only environment and object geometry; separate mixed original or redistributable-model variant | Build and traverse the two-room generated-only scene, using source-generated geometry for every environment/custom object. Independently build a mixed-asset variant and verify licensing/local original references, collision, dialogue and reward behavior in the actual native runtime.
P02A-T37 | agent SDK discovery; agent source authoring; agent build; legal native completion commands; collision and clearance tests; interactions and transitions; reward-once tests; save and restore; leave and re-enter; stepped execution; unthrottled execution; optional native images | Have a generic agent discover the available SDK and build the two-room scene, then complete protected scenario assertions with ordinary native actions. Compare stepped/unlocked results through save/restore and re-entry, retaining legal action traces and optional images as separate evidence.
P02A-T38 | known failing source revision; source-aware diagnosis; source repair; rerun protected tests; targeted follow-up arch revision; preserved unrelated content; preserved stable IDs; delivered source diff; immutable package; optional captures; exact test and replay artifacts | Start with a seeded failing revision, diagnose its native failure, patch only the responsible source and rerun unchanged protected tests. Widen the arch in a follow-up request while preserving unrelated human changes and IDs; deliver reviewable diffs and exact tested package/replay provenance.
P02A-T39 | privileged fixture setup separated from gameplay; actual collision movement; actual eligibility rules; no teleport completion shortcut; no completion-flag mutation; protected acceptance criteria; protected harness configuration; distinct passed failed timed-out and unsupported results | Attempt to pass the scenario via teleportation, flag mutation or acceptance/harness edits and require rejection. Legal failed, unsupported and timed-out runs retain distinct results; a successful run must prove real traversal and actions after clearly recorded fixture setup.
P02A-T40 | prompt-authored town or dungeon; branching quest; optional encounter; failure and retry paths; custom Lua behavior; Phase 7 expansion gate; reference validation; analyzable declarative reachability; actual script and runtime behavior; save and rewind; duplicate-reward prevention; separate presentation review; static checks do not prove arbitrary scripts | Generate and revise a source-authored town/dungeon with branching quest and Lua behavior. Test multiple legal paths, retry/re-entry, optional encounters, save/rewind and reward uniqueness in the native runtime; label static reachability and presentation findings separately from executed script correctness.
P02A-T41 | engine versions; compiler versions; package versions and hashes; seeds; initial state; exact actions; coverage; result assertions; failures; optional images and audio; multiple balance seeds; multiple player policies; simulation versus estimated human time | Audit each verification artifact for reproducible identities and action/assertion data, replay the exact package, and compare results. Run balance samples over recorded seeds/policies and report simulation timings separately from explicit human reading/decision-time estimates.
P03-T01 | compact field-to-battle slice; varied engine exercise; original scenario selection | Select an evidence-backed original checkpoint containing traversal, interactions, event concurrency and a complete battle return; a display-only room does not pass.
P03-T02 | field loading; character rendering; movement; running; jumping; collision; camera rotation; interaction; map transitions | Replay the slice against original observations at terrain and transition boundaries, comparing position/collision outcomes and camera/interaction semantics.
P03-T03 | slice script instructions; dialogue; concurrent activity; waits; triggers; story-state changes | Compare original and native instruction/event traces for normal and rapidly advanced dialogue; required state changes occur once in observed order.
P03-T04 | on-foot action selection; attacks; targeting; damage; enemy behavior; rewards; field return | Use controlled initial battle state and RNG; compare legal actions, outcomes, rewards and post-battle field state to original evidence.
P03-T05 | slice menus; inventory interactions; equipment interactions; ordinary save; ordinary load; keyboard input; controller input | Complete the slice using each device and exercise menu edits plus save/restart/load; recovered state and usable actions match the original contract.
P03-T06 | music sequences; sample playback; sound effects; FMV-to-gameplay transition; independent decoding integration | Play original slice assets locally and compare recorded timing/audio behavior; a full FMV transition restores camera and control with no media drift.
P03-T07 | original reference runs; meaningful state comparison; outcomes comparison; timing comparison; no framebuffer-artifact matching gate; separate optional PS1 fidelity references | Preserve source/input/environment metadata and compare documented gameplay oracles; presentation differences cannot excuse authoritative divergence. Compare Modern gameplay and selected PS1 presentation with separately scoped original oracles.
P03-T08 | field restore; event restore; battle restore; cross-boundary restore; architectural gap closure | Save/restore before, during and after field/event/battle transitions and compare future replay; every discovered state omission is resolved before expansion.
P03-T09 | typed cold-start setup; complete state inspection; traversal jump interaction; dialogue and menu choices; legal complete encounter; save and restore; no OS injection or screenshot interpretation; setup and play provenance separation | Run the frozen original-qualified field/event/battle/reward/menu/save route through a plain protocol client in a device-free process. Require legal action and state transcripts, original comparisons, and no corrective debug mutations during progression.
P03-T10 | exact stepping; semantic readiness; conditional breakpoint; watchpoint; failed assertion artifacts; unthrottled scenario; real-time outcome equivalence; no simplified simulation | Execute first-slice gates for stop boundaries, snapshot/replay and controlled failure; compare real-time/unlocked per-tick state and required work counters in the actual native runtime.
P03-T11 | live human spectator; cadence changes; spectator disconnect; continued agent control; unchanged hashes; no viewer pacing dependency | Attach a viewer mid-slice, slow it, change cadence and disconnect; compare state trace to an image-free run and confirm agent completion at unlocked speed.
P03-T12 | Phase 2A early bridge demonstrated; separate original-game slice evidence; shared native loaders and services; shared movement and interaction rules; shared authoritative state; shared agent API; shared optional renderer; separate original-fidelity and authored-content acceptance | Complete the original slice against original observations and the authored two-room gate against protected source-to-playable assertions. Verify both use the same native services, commands and state model; neither evidence set substitutes for the other before Phase 3 passes.
P04-T01 | terrain/elevation; ladders; traversal; party following; field triggers; camera rules; map transitions; story-dependent field variants | Traverse every inventoried field variant and edge route with automated and manual coverage; compare original position, triggers, companions and transition outcomes.
P04-T02 | complete interpreter; all used instructions; map coverage; scene coverage; branch coverage; instruction-family coverage | Reconcile original script inventory against implemented and exercised instructions; each reachable branch has evidence or an explicit unresolved gap that blocks completion.
P04-T03 | all menus; dialogue; shops; equipment; inventory; party management; ordinary save/load; original-save import; original-save export; declared supported save formats | Exercise all original menu flows and corrupted/unsupported saves; independently round-trip supported original formats without losing state and declare unsupported variants.
P04-T04 | on-foot combos; Deathblows; status effects; enemy AI; scripted encounters; rewards; progression | Cover normal, edge and failure cases for every recovered battle rule and relevant content variant with seeded original/native outcome comparisons.
P04-T05 | Gear battles; Gear resources; Gear equipment; Gear animation; Gear enemy behavior; Gear rules; Gear interfaces | Run representative and exhaustive-rule Gear encounters using original oracles for resources, costs, outcomes and distinct menu/animation behavior.
P04-T06 | world map; transportation; location entry; story-dependent world changes | Traverse each inventoried transport and story variant, entering/exiting locations; compare availability, state and coordinates with original behavior.
P04-T07 | music sequencing; sample playback; sound effects; mixing; FMV demux; FMV decoding; event/media synchronization | Cover the full audio/media catalog with timing and mixing captures; transitions and logical playback state match observed original events.
P04-T08 | original Mono reproduction; original Stereo reproduction; original Wide reproduction; phase and polarity; routing; content path attribution; native signal gate before surround | Match original and native raw two-channel captures for each verified routed path on both discs, with documented timing/level tolerances. Do not validate a decoder against an unvalidated native Wide source.
P04-T09 | every minigame; optional activities; side quests; bosses; ending sequences; failure paths; retry paths | Reconcile per-content and branch inventory with complete original/native runs including failure/retry; unknown or untested content prevents complete-game status.
P04-T10 | disc 1 content; disc 2 content; disc transitions; unified imported-data access; no physical swap in native play | Progress across both verified source profiles and the original disc boundary without physical media switching; compare resulting story and resource state.
P04-T11 | no silent fallbacks; no progression workarounds; unimplemented behavior accounting; unvalidated behavior accounting | Inject unknown opcodes/assets and inspect all fallback sites; diagnostics identify affected coverage and no hidden bypass or dummy result allows a progression pass.
P04-T12 | automated progression checkpoints; manual interaction coverage | Run checkpoint suite and separately record human interactions that automation cannot meaningfully judge; require complete inventory linkage and repeatable setup.
P04-T13 | actions for every subsystem; complete state introspection; typed setup for every subsystem; breakpoints; semantic readiness; world-map setup; battle setup; minigame setup; cutscene setup; progression setup | Reconcile implemented subsystem/catalog coverage with action/query/setup/debug registries and native scenario evidence. Any UI-only or emulator-backlog-limited native subsystem fails completion.
P04-T14 | both-disc headless progression; optional-content headless runs; unlocked speed; reproducible inputs and seeds; bounded assertions; human and agent equivalence; setup coverage distinct from continuous playthrough | Complete original-qualified routes and optional branches through direct commands, with exact hashes and no corrective setup. Report separately cold-launched scenarios and continuous unmodified progression.
P05-T01 | decoded geometry; decoded materials; decoded sprites; decoded textures; decoded camera transforms; native rendering; optional native low-resolution rasterization; no emulator framebuffer | Inspect draw inputs and use independent geometry/asset fixtures; change internal resolution without scaling a captured PS1 framebuffer. Inspect actual native draw inputs and change raster resolution independently of output.
P05-T02 | selectable affine texture distortion; selectable vertex snapping and wobble; selectable low-color quantization; selectable PS1 dithering; selectable low-resolution rasterization; all quirks off in default Modern | Reset config and inspect perspective grids, subpixel motion, gradients and diagonals; Modern passes modern references. Enable each quirk separately and compare its original-qualified fixture with unchanged authoritative state.
P05-T03 | Modern preset; PS1-style preset; Custom preset; affine versus perspective interpolation; projected-vertex quantization; original color precision; dithering control; rasterization-resolution control; recovered primitive-order and depth controls | Inspect effective settings and captures for each preset and individual toggle, including live switching. Applicable quirks match recovered originals while Modern remains the clean-install default.
P05-T04 | correct geometry stage; correct interpolation stage; correct rasterization stage; correct ordering stage; correct color stage; original-capture validation; no substitute screen filters | Use diagnostic meshes/captures isolating each stage and compare source-qualified original fixtures. Blur, noise or scanlines alone cannot satisfy geometric/raster behavior.
P05-T05 | fidelity independent of gameplay time; output resolution independent; aspect independent; culling defaults independent; texture and UI filters independent; widescreen high-refresh fidelity; profiles preserve unrelated settings | Toggle fidelity and profiles across resolution/aspect/refresh/filter/culling combinations; compare state hashes and unaffected configuration values, including migrated settings.
P05-T06 | intentional transparency; masking; palette animation; fog; compositing; selected fidelity behavior | Compare content-specific original effect intent and original-qualified selected fidelity scenes on each backend; audit transparency, masking, palette, fog and compositing ordering independently of authoritative state. Exercise applicable profile switches with original references.
P05-T07 | arbitrary window resolution; arbitrary internal resolution; device limits; independent render scaling; resizing; fullscreen; windowed mode; high-DPI displays | Sweep ordinary and unusual valid dimensions/scales, resize and change display mode; projection/UI remain correct and unsupported sizes produce clear bounded failures.
P05-T08 | arbitrary aspect ratio; correct projection; configurable FOV; UI anchors; safe areas; portrait proportions; text proportions; FMV proportions | Compare 4:3, 16:9, ultrawide, portrait and odd aspect sizes with varied FOV; geometry projection and anchored UI work without stretched portraits/text/video.
P05-T09 | missing-surface audit; incomplete-background audit; out-of-frame staging audit; separate content-repair records | Review wide-framing captures per affected map/scene; classify renderer defects versus missing source content and link each original repair to an intentional-change record.
P05-T10 | arbitrary presentation rate; custom frame caps; uncapped rendering; synchronization options; stable frame pacing | Exercise low, standard, high, fractional and changing refresh/caps plus uncapped and sync modes; measure frame-time distribution and state equivalence on declared hardware.
P05-T11 | camera interpolation; entity interpolation; suitable animation interpolation; authored sprite timing; no mandatory invented animation frames | Compare high-refresh and baseline captures while replaying equal simulation steps; transforms interpolate and source sprite pose cadence remains authored.
P05-T12 | framerate-independent movement; framerate-independent jumping; framerate-independent encounters; framerate-independent battle timing; framerate-independent scripts; framerate-independent minigames; framerate-independent RNG; PS1-fidelity state equivalence | Replay identical inputs/seeds at 30, 60, 120, 144, 240, fractional, variable and uncapped presentation rates; compare tick-aligned authoritative hashes for each domain. Replay with every fidelity toggle and compare all authoritative domains.
P05-T13 | culling default off; independent legacy visibility rejection; independent distance culling; independent frustum culling; independent occlusion culling; independent back-face culling; preserved clipping; preserved depth testing; intentional hidden entities; gameplay activation independent of culling | Reset settings and assert all optional culling modes off; toggle each alone and inspect draw/state deltas; clipping/depth/intentional hiding remain correct and gameplay activation never changes.
P05-T14 | independent world-texture filtering; independent UI filtering; separately evaluated sprite filtering; nearest choice; smoothed choice; no forced UI blur | Change each setting independently in mixed world/UI/sprite scenes; verify serialized settings and pixel output, with sprite-setting inclusion or non-applicability justified explicitly.
P05-T15 | depth ordering; alpha edges; texture seams; palette effects; shader behavior; Vulkan validation; Direct3D 12 validation; Metal validation; Modern backend validation; PS1-style backend validation; Custom backend validation; live profile switching | Run the same reviewed visual fixtures on all backends; compare intended output using predeclared tolerances and inspect boundary artifacts plus device validation errors. Validate each backend/profile combination against the appropriate visual fixtures and unchanged gameplay hashes.
P05-T16 | same renderer for screenshots; offscreen agent observation; optional spectator streams; render skipping preserves simulation; interactive and image-free and streamed equivalence | Render one immutable session state through each output path and replay with rendering disabled. Compare authoritative hashes, capture provenance and drop behavior.
P05-T17 | procedural mod meshes in native renderer; imported mod meshes in same path; supported material subset; visual profiles; optional native captures; source and object attribution; selection and debugging; no browser or external preview authority | Render generated and imported mesh fixtures in each supported native visual profile, inspect material behavior and object/source picking, and retain native captures. External previews cannot supply the native rendering or traversal oracle.
P06-T01 | exploration context; combat context; minigame contexts; game-menu context; app-menu context; editor contexts | Route each action in all active contexts and transitions; irrelevant/covered contexts receive no action and all required controls remain reachable.
P06-T02 | SDL3 gamepad support; hot-plugging; remapping; dead zones; analog movement; rumble; device-appropriate prompts | Use declared device models to connect/disconnect and remap at rest/in play; verify analog/dead-zone response, rumble and prompt changes without stuck actions.
P06-T03 | Windows XInput through SDL3; one physical device identity; no overlapping-provider duplicate actions | Run Windows device-provider combinations and log logical actions; one physical press produces one action and device removal releases state.
P06-T04 | rebindable defaults; WASD movement/navigation; arrow-key movement/navigation; Shift run; run hold/toggle choice; Space jump; Enter confirm; Backspace cancel/back; Q camera left; E camera right; Tab game menu; Esc app menu; V first-person toggle | Reset a clean profile and assert every exact key binding, then invoke each action, rebind it and restart; both movement sets work and Esc never acts as ordinary Cancel.
P06-T05 | all battle action bindings; all minigame action bindings; active-context conflict detection | Reconcile action inventory with keyboard/controller bindings and perform full battle/minigame sessions; duplicate active bindings report conflicts without forbidding harmless cross-context reuse.
P06-T06 | mouse inventory; mouse equipment; mouse shops; mouse battle commands; mouse applicable targeting; mouse save/load; mouse configuration | Complete each menu workflow using pointing and clicking only; meaningful target selection works and accessibility/device fallbacks remain available where targeting is inapplicable.
P06-T07 | real hit-testing; hover feedback; selection; clicking; disabled states; tooltips; direct target activation | Click distant and overlapping UI targets and disabled items; exact hit target receives one action with proper hover/tooltip state, independent of directional navigation distance.
P06-T08 | wheel on every scrollable menu; nested scroll lists; high-resolution wheel; trackpad scrolling | Audit every scroll container and scroll both directions at limits and nested focus; fractional deltas accumulate correctly and events route to the intended container.
P06-T09 | keyboard selection coordination; controller selection coordination; mouse focus coordination; stationary cursor does not steal focus | Switch devices with the cursor resting over another item; selection changes only from intentional input and visible focus matches the active action target.
P06-T10 | Tab toggles permitted game menus; app menu on Esc; Esc independent from skipping; Esc independent from ordinary game-menu Cancel | Press keys through exploration, battles, menus and cutscenes; enforce game-menu eligibility and prove Esc controls the app menu without triggering skip or ordinary Cancel behavior.
P06-T11 | explicit pause behavior; overlay input isolation; text-entry focus; editor focus | Hold gameplay controls while opening overlays or typing; validate pause contract and no leaked actions, stuck keys or hotkeys stealing text input.
P06-T12 | mouse capture; cursor visibility; focus loss; controller disconnection; device switching | Alt-tab, disconnect and switch devices while buttons are held; capture/cursor recover correctly and simulation does not receive stale input.
P06-T13 | physical clients use existing handlers; agents independent of key bindings; agents independent of focus; no virtual devices; semantic toggles; semantic scrolling; semantic selection; equivalent validation for all actions | Change physical bindings/focus while issuing direct actions; agent semantics remain stable. Exercise enabled and disabled physical/semantic selections and compare ticks, costs and state.
P06-T14 | human ownership; agent ownership; explicit handoff; read-only spectator input | Race two controllers and a spectator at handoff boundaries; exactly one owner applies gameplay actions and held inputs release deterministically with logged ticks.
P07-T01 | mod stable IDs; versions; dependencies; compatibility requirements; load order; conflicts; configurable settings | Install synthetic original packages covering valid, missing, cyclic and incompatible metadata; resolve deterministic order and show actionable conflict/version errors.
P07-T02 | map overrides/patches; model overrides/patches; texture overrides/patches; sprite overrides/patches; portrait overrides/patches; UI overrides/patches; dialogue overrides/patches; audio overrides/patches; FMV overrides/patches; encounter overrides/patches; gameplay-table overrides/patches | Independently override and structurally patch each asset family; test precedence and invalid references, preserving immutable imported assets and restoring base behavior when disabled.
P07-T03 | Lua entity API; Lua level API; Lua trigger API; Lua dialogue API; Lua camera API; Lua cutscene API; Lua battle API; Lua minigame API; Lua audio API; Lua UI API | Run documented original Lua examples and API contract/error tests for each domain; examples and versioned documentation agree with exported behavior.
P07-T04 | independent original-bytecode interpreter; Lua behavior extensions; Lua behavior replacement; base content without wholesale rewrite | Run unmodified original event content, then extend/replace one behavior through Lua; compare base behavior with mods disabled and avoid hidden translation requirements.
P07-T05 | replaceable battle mechanics; replaceable minigame mechanics | Change a rule/state transition through an independently authored Lua module; demonstrate outcomes impossible by only changing constants and avoid C++ rebuilds.
P07-T06 | explicit Lua state; versioned Lua state; resumable tasks; snapshot compatibility; rewind compatibility; editor-scrub compatibility; rejected unsupported persistence | Suspend/resume all supported task boundaries through save/rewind/scrub, compare state and reject closures/stacks or patterns outside the persistence contract with repair guidance.
P07-T07 | deterministic event order; deterministic task scheduling; controlled RNG access; simulation-time access; presentation-only scripts; state-changing scripts | Randomize presentation cadence and job timing across repeated seeded runs; compare events/state and deny authoritative writes from presentation-only APIs.
P07-T08 | filesystem restrictions; process restrictions; native-module restrictions; network restrictions; memory budgets; execution budgets; contained script failures | Attempt forbidden access and runaway allocation/execution in original test mods; host remains responsive and errors identify the mod without corrupting authoritative state.
P07-T09 | graphical installation; mod profiles; enable/disable controls; dependency resolution; conflict reporting; safe mode | Manage original packages entirely through UI, recover from broken dependencies and start safe mode with a failing mod installed; base game remains runnable.
P07-T10 | safe-boundary hot reload; script-change snapshot handling; asset-change snapshot handling; state-schema-change snapshot handling; snapshot invalidation/migration | Reload during permitted/forbidden states, then load old snapshots; defer unsafe reload and explicitly migrate or reject incompatibility with no silent divergence.
P07-T11 | independent content-pack interfaces; optional textures; optional audio; optional translations; separately supplied content; no assumed engine-code compatibility | Import documented compatible packs and reject unsupported layouts; clean base install needs none and no third-party game-specific code is adopted.
P07-T12 | original level-event example mod; original cutscene example mod; original battle-behavior example mod; original minigame example mod; no engine recompilation | Install/run each shipped original Lua example through normal package paths, save/restore its modified state and return to unmodified base with mods disabled.
P07-T13 | mod state introspection; mod actions; mod tasks; mod errors; mod setup hooks; breakpoints; snapshots; unlocked tests; published capability and schema extensions | Run all example mods with schemas discovered at runtime; inspect hidden state/tasks, replay/restore and invoke typed setup/actions. Reject an unregistered state/action extension and require actionable errors.
P07-T14 | trusted native debug boundary; untrusted Lua privileges; example mods image-free; example mods streamed | Attempt debug authority escalation from Lua and a spectator, then test authorized host debug. Complete all four example mods in both observation modes with equivalent hashes.
P07-T15 | complete supported Phase 2A SDK and services; schema and catalog discovery; reusable procedural components; scoped edits; source-aware diagnostics; immutable builds; prompt-authored town or dungeon; branching progression; custom Lua behavior | Close every Phase 2A checklist facet for supported content types with actual build/runtime evidence. Produce and revise a town/dungeon using generated geometry, branching events and Lua, retaining source diffs, immutable artifacts and protected native scenario results.
P07-T16 | typed items; characters; Gears; enemy behaviors; encounters; rewards; dialogue; cutscenes; minigame configuration; shared native event and Lua contracts; no second simulation or routine generated C++ | Author one supported definition per domain, type-check/validate its references and run it with the actual corresponding native subsystem. Reject unsupported capabilities; ordinary definitions must not generate or rebuild engine C++ or use alternate gameplay rules.
P07-T17 | standard source project manifest; intent and acceptance specification; TypeScript components; parameter data; optional assets; Lua behavior; scenario tests; creative proposals separated from verified facts; explicit engine capability limits | Build a documented source project from its complete manifest and run its protected scenario tests. Inspect source/provenance and capability declarations; creative proposals and unavailable engine calls remain explicitly distinct from verified original facts and supported operations.
P07-T18 | prompt and retrieval workflow; small specification; blockout; native test; diagnosis and repair; presentation refinement; packaging; targeted follow-up prompt; preserved human changes; stable identities; protected tests; no default whole-project regeneration | Record the full prompt-to-playable loop and a follow-up source revision against a project containing unrelated human edits. Compare diffs and IDs, rerun unchanged native tests against immutable packages, and retain separate presentation review evidence.
P07-T19 | optional editor extensions as trusted tools; external asset generators as trusted tools; prebuilt mod plays without editor plugin execution; prebuilt mod plays without generator execution; generated artwork validated at import; native review of generated artwork | Install and play prebuilt content with its tooling extensions/generators absent or disabled. Attempts to execute tooling during mod load fail; generated artwork must pass format/license/import validation and native review before becoming accepted content.
P08-T01 | versioned snapshot format; game state; original-script task progress; Lua task progress; RNGs; content IDs; active mod versions; reuse foundational debug snapshot service | Save a populated authoritative state and inspect/reload the versioned manifest; every listed domain round-trips and content/mod mismatches are rejected. Verify the player UI and agent restore use one serializer and compatibility policy.
P08-T02 | ordinary-save separation; execution-snapshot separation; save migration; snapshot migration; compatibility policy | Load current, old, future and mismatched save/snapshot fixtures; approved migrations preserve state and unsupported combinations give explicit version diagnostics.
P08-T03 | snapshot slots; quick-save; quick-load; timestamps; thumbnails; undo-load safeguard; atomic writes; corruption checks | Save/load via UI and bindings, undo an accidental load, inject truncation and interruption before/after atomic replacement; previous valid saves survive and metadata remains consistent.
P08-T04 | field-event snapshots; battle snapshots; minigame snapshots; cutscene snapshots; snapshots away from ordinary save locations | Capture at active and transition task points for each domain; restored future replay equals uninterrupted play and no save-safe-only restriction masks missing state.
P08-T05 | configurable fast-forward speed; hold fast forward; toggle fast forward; faster simulation; render-rate independence; independent fully unthrottled agent mode; independent exact stepping; independent bounded run-until; shared core scheduler | Measure simulation ticks per wall second at chosen speeds with fixed render caps; hold/toggle transitions recover normal timing without skipping consequential actions. Confirm player fast-forward preferences do not cap agent-unlocked execution or change tick size.
P08-T06 | time-stretching policy evaluation; mute-above-speed policy evaluation; selected audio-policy threshold; return to normal playback | Document which audio policies are supported, including a reasoned decision on the illustrative stretch/mute choices; change speeds around selected thresholds during music/SFX/FMV playback and verify sync/normal playback recovery. Both example policies are not mandatory.
P08-T07 | periodic rewind snapshots; recorded inputs; recorded events; deterministic rewind replay; duration-or-memory budget decision; chosen budget enforcement; timeline indicator; exposed rewind snapshots | Document the exposed duration or memory budget, rewind through recorded scenarios at its limits, compare replay hashes, enforce the selected budget and inspect accurate available snapshots/history. Both budget controls are not mandatory.
P08-T08 | abandoned-future discard; no duplicate rewards; no replayed persistent writes; no duplicate external side effects | Rewind before a consequential action and resume with changed input; old future vanishes and reward/save/external-effect counters show exactly the intended committed effects.
P08-T09 | logical audio restore; logical FMV restore; decoder rebuild; audio-device rebuild; GPU rebuild | Restore into fresh platform services during active media, compare logical positions and sync, and verify no serialized native handles or stale resources are required.
P08-T10 | Wide decoder history; HRTF convolution tails; resampler delay; portable caches or bounded pre-roll; phase-preserving linked-channel acceleration or mute; load rewind skip and device-switch restoration | Compare continuous and restored offline audio captures from identical logical state, checking linked phase/timing and declared transient/latency tolerances. Require bounded reconstruction before resuming output and no stale cues/clicks.
P08-T11 | rewind map transitions; rewind battles; rewind cutscenes; rewind disc-content transitions; resolved unsupported boundaries | Traverse each boundary backward and forward with original and mod content; compare canonical state and require every unsupported boundary resolved before marking complete.
P08-T12 | agent save and load; agent rewind; branching replay; snapshot inspection; explicit ticks; compatibility errors; isolated saves; image-free state restore; presentation reconstruction on demand | Perform restore/rewind/branch via protocol in fresh processes and private save roots; compare subsequent state hashes and recreated output. Reject incompatible source/schema/mod revisions with no mutation.
P08-T13 | Linux replay equivalence; Windows replay equivalence; macOS replay equivalence; representative mod combinations; explicit incompatible snapshot errors; real-time replay; stepped replay; fixed-speed replay; unthrottled replay; images-off replay; images-on replay | Exchange supported snapshots/replays across declared targets and mod profiles; compare canonical state and reject intentionally incompatible schemas/content instead of accepting drift. Cross modes with representative mod profiles and compare every authoritative tick.
